"keyword","name","address","city","state","zip","country","phone","phonestring","website","email","time"
"ngo in bangladesh","Concern Worldwide Bangladesh","Road 7, Gulshan -1, Dhaka 1212"," Dhaka","","1212","","","","/url?q=http://www.concern.net/where-we-work/asia/bangladesh&sa=U&ved=0ahUKEwjnz4qEnsfqAhWVdn0KHSfsDZ8Q61gIwQYoDzAT&usg=AOvVaw0Qxp2aHCNXzrD_lLT4N0p9","",""
"ngo in bangladesh","UKBET","House No: 08(1st floor), Main Road, Block: C, Shahjalal Uposhahar, Opposite to South East Bank Ltd, Sylhet 3100"," Sylhet","","3100","","","","/url?q=http://www.ukbet-bd.org/&sa=U&ved=0ahUKEwi-n7SHnsfqAhVJAXIKHeKhDeYQ61gIGCgRMAA&usg=AOvVaw30nHWSXSQ8Fjk_L-4Oqvbe","",""
"ngo in bangladesh","Family Planning Association, NGO","2 Mosque Rd, Dhaka 1000"," Dhaka","","1000","","","","/url?q=http://www.fpab.org.bd/&sa=U&ved=0ahUKEwi-n7SHnsfqAhVJAXIKHeKhDeYQ61gIRigQMAE&usg=AOvVaw39_uqfhY3X6Msz0LriD9le","",""
"ngo in bangladesh","Buro Bangladesh Banani SME and Dhaka Zone Office","House no: 13, 17 Super Market Rd, Dhaka 1213"," Dhaka","","1213","","","","/url?q=http://www.burobd.org/&sa=U&ved=0ahUKEwi-n7SHnsfqAhVJAXIKHeKhDeYQ61gIbigSMAI&usg=AOvVaw3g5yFMbwa2TKEto3QZ21xB","",""
"ngo in bangladesh","WaterAid Bangladesh","〒1213 Dhaka, Rd No # 23"," Dhaka","","","","","","/url?q=http://www.wateraid.org/bd&sa=U&ved=0ahUKEwi-n7SHnsfqAhVJAXIKHeKhDeYQ61gInQEoEjAD&usg=AOvVaw17cwDZ6gJm3X8Uh4-iVM5Y","",""
"ngo in bangladesh","SETU NGO","Head Office, Purna Chandra Lahiri Lane, Kushtia 7000"," Kushtia","","7000","","","","/url?q=https://www.setu.ngo/&sa=U&ved=0ahUKEwi-n7SHnsfqAhVJAXIKHeKhDeYQ61gIywEoETAE&usg=AOvVaw2kiUDXPrs2_O6SDCG8fm3O","",""
"ngo in bangladesh","Al-Falah Bangladesh","9/16 Iqbal Road, Dhaka 1207"," Dhaka","","1207","","","","/url?q=http://www.alfalah.com.bd/&sa=U&ved=0ahUKEwi-n7SHnsfqAhVJAXIKHeKhDeYQ61gI-QEoEDAF&usg=AOvVaw1aKsq5FJ0kBIa1Q_vdvy2j","",""
"ngo in bangladesh","CARE Bangladesh","Level 7, RAOWA Complex, 8 VIP Road, Dhaka 1206"," Dhaka","","1206","","","","/url?q=http://www.carebangladesh.org/&sa=U&ved=0ahUKEwi-n7SHnsfqAhVJAXIKHeKhDeYQ61gIoQIoEzAG&usg=AOvVaw3gJprxHaEGjtV3RgLXNvR8","",""
"ngo in bangladesh","Bangladesh Extension Education Services","17/3, Tolarbag, Mirpur-2 No Gate, Dhaka"," Dhaka","","","","","","/url?q=http://www.beesbd.org/&sa=U&ved=0ahUKEwi-n7SHnsfqAhVJAXIKHeKhDeYQ61gI0AIoETAH&usg=AOvVaw06NzDrMk4m0z1KFSpc8wKn","",""
"ngo in bangladesh","Swanirvar Bangladesh","5/5 Rd No 7, Dhaka 1207"," Dhaka","","1207","","","","","",""
"ngo in bangladesh","Heed Bangladesh","Plot-19, Block-A, Dhaka 1216"," Dhaka","","1216","","","","/url?q=http://www.heed-bangladesh.com/&sa=U&ved=0ahUKEwi-n7SHnsfqAhVJAXIKHeKhDeYQ61gIpAMoDzAJ&usg=AOvVaw3L415zXA2k0Wvi0F-yGygz","",""
"ngo in bangladesh","'কারিতাস' 'Caritas' Bangladesh","1/E, Baizid Bostami Road, (Behind Mimi Super Market), East Nasirabad, Panchalaish, Chattogram"," Chattogram","","","","","","/url?q=http://www.caritasbd.org/&sa=U&ved=0ahUKEwi-n7SHnsfqAhVJAXIKHeKhDeYQ61gI1QMoEzAK&usg=AOvVaw0RS3d5nBIh4F6KvRm5bqJ_","",""
"ngo in bangladesh","Heed Bangladesh","N204"," Shahjahanpur","","","","","","/url?q=http://www.heed-bangladesh.com/&sa=U&ved=0ahUKEwi-n7SHnsfqAhVJAXIKHeKhDeYQ61gI_wMoDDAL&usg=AOvVaw3MMSv0F7lgeTjhre9L0zl9","",""
